Column,Value,Count
county_name,Shasta County,9157
msamd_name,Redding - CA,9136
msamd,39820.0,9136.0
hud_median_family_income,61800.0,9136.0
applicant_income_000s,104.0,9116.0
applicant_income_000s,97.0,9104.0
denial_reason_1,6.0,9060.0
denial_reason_name_1,Unverifiable information,9060
applicant_income_000s,150.0,8962.0
applicant_race_2,5.0,8954.0
applicant_race_name_2,White,8954
msamd,49700.0,8916.0
msamd_name,Yuba City - CA,8916
hud_median_family_income,55500.0,8916.0
applicant_income_000s,101.0,8899.0
applicant_income_000s,125.0,8805.0
respondent_id,33-0941669,8801
applicant_income_000s,42.0,8784.0
applicant_income_000s,115.0,8716.0
applicant_income_000s,99.0,8700.0
loan_amount_000s,417.0,8697.0
applicant_income_000s,51.0,8550.0
applicant_income_000s,49.0,8542.0
respondent_id,68-0309242,8512
county_name,Yolo County,8497
county_code,113.0,8497.0
applicant_income_000s,46.0,8461.0
applicant_income_000s,47.0,8460.0
applicant_income_000s,130.0,8459.0
applicant_income_000s,103.0,8437.0
respondent_id,0000804963,8345
respondent_id,22-3887207,8308
applicant_income_000s,106.0,8286.0
respondent_id,11-3412303,8209
applicant_income_000s,45.0,8144.0
respondent_id,27-4023565,8134
applicant_income_000s,44.0,8092.0
applicant_income_000s,107.0,8049.0
respondent_id,7810600004,8026
applicant_income_000s,114.0,7998.0
respondent_id,0000032489,7963
respondent_id,77-0158990,7955
applicant_income_000s,112.0,7955.0
loan_amount_000s,360.0,7804.0
applicant_income_000s,109.0,7773.0
loan_amount_000s,500.0,7709.0
applicant_income_000s,40.0,7703.0
loan_amount_000s,260.0,7678.0
applicant_income_000s,140.0,7558.0
applicant_income_000s,113.0,7532.0
respondent_id,75-3170028,7445
applicant_income_000s,43.0,7430.0
loan_amount_000s,240.0,7412.0
loan_amount_000s,270.0,7298.0
applicant_income_000s,111.0,7259.0
applicant_income_000s,135.0,7253.0
loan_amount_000s,320.0,7210.0
applicant_income_000s,116.0,7205.0
applicant_income_000s,118.0,7181.0
applicant_income_000s,36.0,7120.0
applicant_income_000s,132.0,7039.0
respondent_id,26-0595342,7002
respondent_id,20-8745846,6964
respondent_id,54-0259290,6950
loan_amount_000s,420.0,6923.0
applicant_income_000s,122.0,6919.0
respondent_id,26-0360466,6899
applicant_income_000s,117.0,6886.0
respondent_id,0000706051,6882
county_code,57.0,6853.0
county_name,Nevada County,6853
loan_amount_000s,275.0,6853.0
loan_amount_000s,600.0,6850.0
respondent_id,02-0486480,6834
respondent_id,95-3990375,6722
applicant_income_000s,41.0,6702.0
county_code,55.0,6645.0
county_name,Napa County,6645
respondent_id,0002888798,6634
msamd_name,Napa - CA,6632
msamd,34900.0,6632.0
hud_median_family_income,91000.0,6632.0
loan_amount_000s,225.0,6615.0
applicant_income_000s,119.0,6607.0
respondent_id,20-8544905,6594
applicant_income_000s,144.0,6581.0
applicant_income_000s,126.0,6575.0
applicant_income_000s,121.0,6543.0
respondent_id,33-0975529,6535
applicant_income_000s,123.0,6531.0
respondent_id,6443809990,6458
co_applicant_race_name_1,American Indian or Alaska Native,6438
co_applicant_race_1,1,6438
county_code,39.0,6397.0
county_name,Madera County,6397
msamd_name,Madera - CA,6393
msamd,31460.0,6393.0
hud_median_family_income,51300.0,6393.0
respondent_id,42-1739728,6378
applicant_income_000s,180.0,6367.0
applicant_income_000s,124.0,6353.0
denial_reason_name_2,Other,6305
denial_reason_2,9.0,6305.0
respondent_id,0000619877,6289
applicant_income_000s,38.0,6282.0
respondent_id,37-1542226,6254
loan_amount_000s,380.0,6250.0
respondent_id,46-3676810,6182
denial_reason_2,1.0,6170.0
denial_reason_name_2,Debt-to-income ratio,6170
loan_amount_000s,255.0,6161.0
loan_amount_000s,285.0,6112.0
applicant_income_000s,160.0,6063.0
loan_amount_000s,180.0,6062.0
loan_amount_000s,290.0,6051.0
loan_amount_000s,340.0,6041.0
loan_amount_000s,220.0,6034.0
applicant_income_000s,128.0,6033.0
respondent_id,0002735146,6032
applicant_income_000s,37.0,5998.0
applicant_income_000s,127.0,5977.0
respondent_id,47-0873092,5970
respondent_id,0000025080,5920
loan_amount_000s,1000.0,5897.0
applicant_income_000s,129.0,5858.0
county_code,25.0,5833.0
county_name,Imperial County,5833
hud_median_family_income,49700.0,5832.0
msamd_name,El Centro - CA,5832
msamd,20940.0,5832.0
loan_amount_000s,375.0,5823.0
applicant_income_000s,39.0,5821.0
loan_amount_000s,315.0,5793.0
applicant_income_000s,35.0,5754.0
applicant_income_000s,145.0,5738.0
applicant_income_000s,138.0,5718.0
applicant_income_000s,131.0,5689.0
respondent_id,23-2470039,5680
applicant_income_000s,133.0,5661.0
loan_amount_000s,50.0,5655.0
loan_amount_000s,330.0,5641.0
respondent_id,7257500009,5633
respondent_id,7976700006,5614
loan_amount_000s,210.0,5599.0
loan_amount_000s,265.0,5577.0
applicant_income_000s,134.0,5573.0
respondent_id,0000959395,5572
loan_amount_000s,160.0,5524.0
loan_amount_000s,245.0,5513.0
loan_amount_000s,230.0,5508.0
county_code,31.0,5494.0
county_name,Kings County,5494
hud_median_family_income,50200.0,5493.0
msamd,25260.0,5490.0
msamd_name,"Hanford, Corcoran - CA",5490
loan_amount_000s,310.0,5386.0
applicant_income_000s,137.0,5376.0
loan_type,4,5329
loan_type_name,FSA/RHS-guaranteed,5329
applicant_income_000s,139.0,5254.0
applicant_income_000s,136.0,5229.0
respondent_id,26-0707492,5200
applicant_income_000s,155.0,5123.0
respondent_id,43-1965151,5104
loan_amount_000s,295.0,5104.0
loan_amount_000s,325.0,5087.0
loan_amount_000s,175.0,5064.0
applicant_income_000s,141.0,5049.0
applicant_income_000s,142.0,5043.0
applicant_income_000s,156.0,5027.0
applicant_income_000s,143.0,4998.0
loan_amount_000s,390.0,4961.0
loan_amount_000s,450.0,4957.0
applicant_income_000s,200.0,4934.0
respondent_id,51-0654034,4933
applicant_income_000s,170.0,4912.0
respondent_id,76-0503625,4880
denial_reason_1,5.0,4858.0
denial_reason_name_1,"Insufficient cash (downpayment, closing costs)",4858
respondent_id,0000001999,4830
applicant_income_000s,30.0,4830.0
applicant_income_000s,146.0,4812.0
respondent_id,37-1493496,4797
applicant_income_000s,34.0,4791.0
applicant_income_000s,148.0,4780.0
loan_amount_000s,304.0,4779.0
applicant_income_000s,165.0,4759.0
loan_amount_000s,190.0,4746.0
respondent_id,54-1994393,4736
respondent_id,0000817824,4682
applicant_income_000s,33.0,4662.0
applicant_income_000s,147.0,4657.0
loan_amount_000s,386.0,4648.0
respondent_id,68-0151632,4623
loan_amount_000s,368.0,4587.0
respondent_id,94-3169132,4582
applicant_income_000s,149.0,4576.0
applicant_income_000s,175.0,4574.0
loan_amount_000s,370.0,4524.0
applicant_income_000s,32.0,4513.0
respondent_id,0000675332,4502
applicant_income_000s,31.0,4499.0
respondent_id,26-0021318,4497
county_name,Yuba County,4478
county_code,115.0,4478.0
applicant_income_000s,152.0,4447.0
county_name,Sutter County,4447
county_code,101.0,4447.0
loan_amount_000s,170.0,4427.0
applicant_income_000s,154.0,4418.0
denial_reason_name_2,"Insufficient cash (downpayment, closing costs)",4394
denial_reason_2,5.0,4394.0
loan_amount_000s,235.0,4362.0
loan_amount_000s,480.0,4361.0
loan_amount_000s,216.0,4350.0
respondent_id,20-1832276,4347
applicant_income_000s,168.0,4328.0
applicant_income_000s,151.0,4290.0
loan_amount_000s,305.0,4272.0
loan_amount_000s,410.0,4257.0
loan_amount_000s,385.0,4249.0
applicant_income_000s,153.0,4172.0
loan_amount_000s,195.0,4154.0
applicant_income_000s,162.0,4151.0
applicant_income_000s,158.0,4151.0
loan_amount_000s,215.0,4110.0
loan_amount_000s,10.0,4096.0
loan_amount_000s,344.0,4086.0
census_tract_number,2.0,4078.0
loan_amount_000s,120.0,4029.0
loan_amount_000s,356.0,4020.0
loan_amount_000s,140.0,3983.0
loan_amount_000s,125.0,3971.0
applicant_income_000s,157.0,3941.0
loan_amount_000s,236.0,3910.0
loan_amount_000s,165.0,3906.0
respondent_id,75-2695327,3885
loan_amount_000s,335.0,3879.0
loan_amount_000s,252.0,3873.0
loan_amount_000s,405.0,3851.0
loan_amount_000s,412.0,3846.0
loan_amount_000s,345.0,3846.0
loan_amount_000s,550.0,3843.0
applicant_income_000s,159.0,3824.0
applicant_income_000s,161.0,3824.0
applicant_income_000s,185.0,3805.0
loan_amount_000s,185.0,3796.0
applicant_income_000s,163.0,3786.0
loan_amount_000s,204.0,3784.0
respondent_id,95-4671903,3781
respondent_id,57-1175755,3776
applicant_income_000s,29.0,3768.0
loan_amount_000s,25.0,3733.0
loan_amount_000s,205.0,3729.0
respondent_id,26-3874984,3724
loan_amount_000s,324.0,3720.0
loan_amount_000s,272.0,3712.0
loan_amount_000s,365.0,3707.0
applicant_income_000s,190.0,3692.0
county_code,23.0,3691.0
county_name,Humboldt County,3691
loan_amount_000s,130.0,3685.0
county_name,San Benito County,3682
county_code,69.0,3682.0
county_code,9.0,3681.0
county_name,Calaveras County,3681
loan_amount_000s,540.0,3672.0
loan_amount_000s,228.0,3665.0
respondent_id,62-1859487,3664
co_applicant_race_2,5.0,3659.0
co_applicant_race_name_2,White,3659
loan_amount_000s,248.0,3647.0
loan_amount_000s,336.0,3645.0
loan_amount_000s,416.0,3617.0
loan_amount_000s,238.0,3611.0
loan_amount_000s,355.0,3595.0
loan_amount_000s,352.0,3584.0
loan_amount_000s,196.0,3579.0
applicant_income_000s,164.0,3577.0
loan_amount_000s,244.0,3576.0
number_of_owner_occupied_units,1291.0,3575.0
loan_amount_000s,560.0,3565.0
loan_amount_000s,288.0,3559.0
applicant_income_000s,166.0,3550.0
loan_amount_000s,224.0,3538.0
loan_amount_000s,276.0,3535.0
loan_amount_000s,264.0,3524.0
loan_amount_000s,221.0,3503.0
loan_amount_000s,232.0,3490.0
applicant_income_000s,167.0,3483.0
applicant_income_000s,24.0,3483.0
loan_amount_000s,520.0,3471.0
loan_amount_000s,415.0,3463.0
loan_amount_000s,308.0,3463.0
loan_amount_000s,319.0,3453.0
applicant_income_000s,28.0,3444.0
county_code,33.0,3441.0
county_name,Lake County,3441
respondent_id,0000716456,3439
loan_amount_000s,256.0,3415.0
denial_reason_2,6.0,3409.0
denial_reason_name_2,Unverifiable information,3409
loan_amount_000s,378.0,3407.0
loan_amount_000s,212.0,3400.0
loan_amount_000s,268.0,3400.0
loan_amount_000s,312.0,3398.0
loan_amount_000s,206.0,3387.0
applicant_income_000s,171.0,3372.0
loan_amount_000s,296.0,3370.0
applicant_income_000s,174.0,3363.0
tract_to_msamd_income,0.0,3358.0
county_name,Tuolumne County,3351
county_code,109.0,3351.0
applicant_income_000s,169.0,3351.0
applicant_income_000s,173.0,3334.0
loan_amount_000s,332.0,3325.0
census_tract_number,3.0,3309.0
loan_amount_000s,208.0,3300.0
applicant_income_000s,172.0,3294.0
loan_amount_000s,460.0,3289.0
loan_amount_000s,328.0,3269.0
applicant_income_000s,240.0,3267.0
respondent_id,20-8083209,3248
loan_amount_000s,314.0,3239.0
applicant_income_000s,27.0,3229.0
loan_amount_000s,155.0,3219.0
number_of_owner_occupied_units,1281.0,3213.0
loan_amount_000s,388.0,3205.0
respondent_id,62-1532940,3202
loan_amount_000s,188.0,3200.0
loan_amount_000s,358.0,3196.0
respondent_id,0000008663,3191
loan_amount_000s,284.0,3190.0
loan_amount_000s,338.0,3187.0
applicant_income_000s,192.0,3175.0
number_of_1_to_4_family_units,2026.0,3172.0
loan_amount_000s,423.0,3172.0
minority_population,36.619998931884766,3172.0
loan_amount_000s,242.0,3171.0
loan_amount_000s,372.0,3163.0
loan_amount_000s,75.0,3163.0
loan_amount_000s,413.0,3160.0
loan_amount_000s,395.0,3159.0
loan_amount_000s,408.0,3155.0
loan_amount_000s,234.0,3149.0
loan_amount_000s,309.0,3149.0
loan_amount_000s,398.0,3144.0
applicant_income_000s,182.0,3141.0
applicant_income_000s,26.0,3141.0
loan_amount_000s,259.0,3132.0
loan_amount_000s,254.0,3122.0
respondent_id,56-2237729,3113
applicant_income_000s,176.0,3109.0
respondent_id,0000061004,3108
respondent_id,77-0556943,3104
loan_amount_000s,231.0,3100.0
loan_amount_000s,294.0,3097.0
loan_amount_000s,383.0,3076.0
number_of_1_to_4_family_units,1909.0,3075.0
loan_amount_000s,292.0,3072.0
loan_amount_000s,392.0,3070.0
applicant_income_000s,178.0,3065.0
loan_amount_000s,353.0,3064.0
loan_amount_000s,135.0,3061.0
loan_amount_000s,348.0,3060.0
loan_amount_000s,266.0,3055.0
loan_amount_000s,30.0,3042.0
respondent_id,0000030810,3041
number_of_1_to_4_family_units,1576.0,3040.0
loan_amount_000s,333.0,3038.0
respondent_id,0000143662,3035
loan_amount_000s,363.0,3033.0
loan_amount_000s,176.0,3032.0
applicant_income_000s,177.0,3032.0
loan_amount_000s,172.0,3031.0
loan_amount_000s,263.0,3029.0
loan_amount_000s,299.0,3026.0
respondent_id,27-0267182,3025
loan_amount_000s,334.0,3018.0
loan_amount_000s,226.0,3018.0
loan_amount_000s,306.0,3004.0
respondent_id,0000068579,3003
loan_amount_000s,440.0,3003.0
loan_amount_000s,329.0,3002.0
loan_amount_000s,182.0,3001.0
loan_amount_000s,60.0,2999.0
loan_amount_000s,376.0,2994.0
loan_amount_000s,475.0,2989.0
applicant_income_000s,210.0,2982.0
applicant_income_000s,25.0,2977.0
loan_amount_000s,184.0,2974.0
loan_amount_000s,214.0,2971.0
loan_amount_000s,525.0,2967.0
loan_amount_000s,218.0,2965.0
loan_amount_000s,349.0,2962.0
number_of_1_to_4_family_units,1575.0,2956.0
loan_amount_000s,281.0,2951.0
loan_amount_000s,700.0,2947.0
respondent_id,0000656733,2943
respondent_id,0870691650,2941
applicant_income_000s,179.0,2931.0
loan_amount_000s,432.0,2927.0
loan_amount_000s,258.0,2927.0
number_of_owner_occupied_units,942.0,2926.0
loan_amount_000s,192.0,2925.0
respondent_id,33-0397503,2924
denial_reason_2,4.0,2908.0
denial_reason_name_2,Collateral,2908
number_of_owner_occupied_units,835.0,2904.0
loan_amount_000s,364.0,2902.0
applicant_income_000s,250.0,2890.0
respondent_id,0000708028,2885
loan_amount_000s,342.0,2885.0
respondent_id,0000197478,2883
loan_amount_000s,233.0,2881.0
number_of_owner_occupied_units,1114.0,2863.0
loan_amount_000s,298.0,2852.0
census_tract_number,9.0,2850.0
number_of_owner_occupied_units,906.0,2846.0
